"No.","Time","Source","Destination","Protocol","Length","Info"
"50","3.984568","222.29.98.58","10.1.246.45","TCP","74","5201  >  51018 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1386 SACK_PERM=1 TSval=1915938303 TSecr=1455333552 WS=128"
"53","3.989120","222.29.98.58","10.1.246.45","TCP","66","5201  >  51018 [ACK] Seq=1 Ack=38 Win=29056 Len=0 TSval=1915938307 TSecr=1455333572"
"54","3.989162","222.29.98.58","10.1.246.45","TCP","67","5201  >  51018 [PSH, ACK] Seq=1 Ack=38 Win=29056 Len=1 TSval=1915938307 TSecr=1455333572"
"58","4.038484","222.29.98.58","10.1.246.45","TCP","66","5201  >  51018 [ACK] Seq=2 Ack=42 Win=29056 Len=0 TSval=1915938355 TSecr=1455333577"
"60","4.040124","222.29.98.58","10.1.246.45","TCP","66","5201  >  51018 [ACK] Seq=2 Ack=99 Win=29056 Len=0 TSval=1915938360 TSecr=1455333626"
"61","4.040162","222.29.98.58","10.1.246.45","TCP","67","5201  >  51018 [PSH, ACK] Seq=2 Ack=99 Win=29056 Len=1 TSval=1915938361 TSecr=1455333626"
"63","4.044671","222.29.98.58","10.1.246.45","TCP","74","5201  >  51020 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1386 SACK_PERM=1 TSval=1915938362 TSecr=1455333628 WS=128"
"66","4.050000","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=38 Win=29056 Len=0 TSval=1915938370 TSecr=1455333632"
"68","4.089476","222.29.98.58","10.1.246.45","TCP","68","5201  >  51018 [PSH, ACK] Seq=3 Ack=99 Win=29056 Len=2 TSval=1915938405 TSecr=1455333670"
"80","4.093091","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=6908 Win=42752 Len=0 TSval=1915938412 TSecr=1455333677"
"87","4.093139","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=13778 Win=56448 Len=0 TSval=1915938413 TSecr=1455333677"
"102","4.104100","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=22022 Win=72960 Len=0 TSval=1915938417 TSecr=1455333680"
"113","4.104153","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=27518 Win=83968 Len=0 TSval=1915938417 TSecr=1455333680"
"124","4.104186","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=31640 Win=92288 Len=0 TSval=1915938417 TSecr=1455333680"
"125","4.104189","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=35762 Win=100480 Len=0 TSval=1915938417 TSecr=1455333680"
"126","4.104194","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=39884 Win=108672 Len=0 TSval=1915938417 TSecr=1455333680"
"127","4.104197","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=41258 Win=111616 Len=0 TSval=1915938421 TSecr=1455333682"
"147","4.106150","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=46754 Win=122624 Len=0 TSval=1915938426 TSecr=1455333691"
"148","4.106164","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=48128 Win=125440 Len=0 TSval=1915938426 TSecr=1455333691"
"150","4.108285","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=52250 Win=133760 Len=0 TSval=1915938427 TSecr=1455333691"
"158","4.108331","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=59120 Win=147456 Len=0 TSval=1915938427 TSecr=1455333691"
"159","4.108352","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=63242 Win=155776 Len=0 TSval=1915938428 TSecr=1455333691"
"168","4.108374","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=68738 Win=166656 Len=0 TSval=1915938428 TSecr=1455333691"
"169","4.111106","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=79730 Win=188672 Len=0 TSval=1915938430 TSecr=1455333693"
"170","4.111126","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=82478 Win=194176 Len=0 TSval=1915938430 TSecr=1455333693"
"171","4.111131","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=94844 Win=218880 Len=0 TSval=1915938430 TSecr=1455333693"
"180","4.112689","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=96218 Win=221824 Len=0 TSval=1915938431 TSecr=1455333695"
"187","4.114186","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=105836 Win=241024 Len=0 TSval=1915938434 TSecr=1455333696"
"188","4.114194","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=112706 Win=254848 Len=0 TSval=1915938434 TSecr=1455333696"
"205","4.115306","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=116828 Win=263040 Len=0 TSval=1915938435 TSecr=1455333696"
"206","4.117211","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=118202 Win=265984 Len=0 TSval=1915938435 TSecr=1455333699"
"207","4.117220","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=125072 Win=279680 Len=0 TSval=1915938437 TSecr=1455333699"
"208","4.117223","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=127820 Win=285184 Len=0 TSval=1915938437 TSecr=1455333699"
"209","4.119552","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=136064 Win=280704 Len=0 TSval=1915938437 TSecr=1455333700"
"234","4.125009","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=147056 Win=285568 Len=0 TSval=1915938443 TSecr=1455333702"
"242","4.125054","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=158048 Win=285568 Len=0 TSval=1915938443 TSecr=1455333702"
