"No.","Time","Source","Destination","Protocol","Length","Info"
"20736","7.198016","10.1.246.45","222.29.98.58","TCP","1440","[TCP Fast Retransmission] 51020  >  5201 [ACK] Seq=24483344 Ack=1 Win=29312 Len=1374 TSval=1455336785 TSecr=1915941512"
"20737","7.198040","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24484718 Ack=1 Win=29312 Len=1374 TSval=1455336785 TSecr=1915941512"
"20738","7.198047","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24486092 Ack=1 Win=29312 Len=1374 TSval=1455336785 TSecr=1915941512"
"20739","7.198073","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24487466 Ack=1 Win=29312 Len=1374 TSval=1455336785 TSecr=1915941512"
"20740","7.198080","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24488840 Ack=1 Win=29312 Len=1374 TSval=1455336785 TSecr=1915941512"
"20741","7.198088","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24490214 Ack=1 Win=29312 Len=1374 TSval=1455336785 TSecr=1915941512"
"20742","7.198104","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24491588 Ack=1 Win=29312 Len=1374 TSval=1455336785 TSecr=1915941512"
"20744","7.198150","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24492962 Ack=1 Win=29312 Len=1374 TSval=1455336785 TSecr=1915941512"
"20745","7.198161","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24494336 Ack=1 Win=29312 Len=1374 TSval=1455336785 TSecr=1915941512"
"20746","7.198168","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24495710 Ack=1 Win=29312 Len=1374 TSval=1455336785 TSecr=1915941512"
"20747","7.198175","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24497084 Ack=1 Win=29312 Len=1374 TSval=1455336785 TSecr=1915941512"
"20749","7.198222","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24498458 Ack=1 Win=29312 Len=1374 TSval=1455336786 TSecr=1915941514"
"20750","7.198231","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24499832 Ack=1 Win=29312 Len=1374 TSval=1455336786 TSecr=1915941514"
"20751","7.198238","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24501206 Ack=1 Win=29312 Len=1374 TSval=1455336786 TSecr=1915941514"
"20752","7.198245","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24502580 Ack=1 Win=29312 Len=1374 TSval=1455336786 TSecr=1915941514"
"20756","7.199865","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24503954 Ack=1 Win=29312 Len=1374 TSval=1455336787 TSecr=1915941515"
"20757","7.199891","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24505328 Ack=1 Win=29312 Len=1374 TSval=1455336787 TSecr=1915941515"
"20758","7.199898","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24506702 Ack=1 Win=29312 Len=1374 TSval=1455336787 TSecr=1915941515"
"20759","7.199906","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24508076 Ack=1 Win=29312 Len=1374 TSval=1455336787 TSecr=1915941515"
"20761","7.204278","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24509450 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941516"
"20762","7.204304","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24510824 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941516"
"20763","7.204313","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24512198 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941516"
"20764","7.204320","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24513572 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941516"
"20765","7.204328","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24514946 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941516"
"20766","7.204335","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24516320 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941516"
"20767","7.204353","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24517694 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941516"
"20769","7.204397","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24519068 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941516"
"20770","7.204405","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24520442 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941516"
"20772","7.204446","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24521816 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941516"
"20773","7.204456","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24523190 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941516"
"20775","7.204492","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24524564 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941518"
"20776","7.204502","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24525938 Ack=1 Win=29312 Len=1374 TSval=1455336792 TSecr=1915941518"
"20782","7.205803","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24527312 Ack=1 Win=29312 Len=1374 TSval=1455336793 TSecr=1915941522"
"20783","7.205829","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24528686 Ack=1 Win=29312 Len=1374 TSval=1455336793 TSecr=1915941522"
"20784","7.205837","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=24530060 Ack=1 Win=29312 Len=1374 TSval=1455336793 TSecr=1915941522"
"24084","9.032145","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=28507790 Ack=1 Win=29312 Len=1374 TSval=1455338619 TSecr=1915943334"
"24085","9.032168","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=28509164 Ack=1 Win=29312 Len=1374 TSval=1455338619 TSecr=1915943334"
"24086","9.032189","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=28510538 Ack=1 Win=29312 Len=1374 TSval=1455338619 TSecr=1915943334"
"24087","9.032197","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=28511912 Ack=1 Win=29312 Len=1374 TSval=1455338619 TSecr=1915943334"
"24089","9.034038","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=28513286 Ack=1 Win=29312 Len=1374 TSval=1455338621 TSecr=1915943354"
"24090","9.034066","10.1.246.45","222.29.98.58","TCP","1440","[TCP Retransmission] 51020  >  5201 [ACK] Seq=28514660 Ack=1 Win=29312 Len=1374 TSval=1455338621 TSecr=1915943354"
