"No.","Time","Source","Destination","Protocol","Length","Info","The RTT to ACK the segment was"
"50","3.984568","222.29.98.58","10.1.246.45","TCP","74","5201  >  51018 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1386 SACK_PERM=1 TSval=1915938303 TSecr=1455333552 WS=128","0.020001000"
"53","3.989120","222.29.98.58","10.1.246.45","TCP","66","5201  >  51018 [ACK] Seq=1 Ack=38 Win=29056 Len=0 TSval=1915938307 TSecr=1455333572","0.004358000"
"58","4.038484","222.29.98.58","10.1.246.45","TCP","66","5201  >  51018 [ACK] Seq=2 Ack=42 Win=29056 Len=0 TSval=1915938355 TSecr=1455333577","0.049037000"
"60","4.040124","222.29.98.58","10.1.246.45","TCP","66","5201  >  51018 [ACK] Seq=2 Ack=99 Win=29056 Len=0 TSval=1915938360 TSecr=1455333626","0.001586000"
"63","4.044671","222.29.98.58","10.1.246.45","TCP","74","5201  >  51020 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1386 SACK_PERM=1 TSval=1915938362 TSecr=1455333628 WS=128","0.004235000"
"66","4.050000","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=38 Win=29056 Len=0 TSval=1915938370 TSecr=1455333632","0.005140000"
"80","4.093091","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=6908 Win=42752 Len=0 TSval=1915938412 TSecr=1455333677","0.003555000"
"87","4.093139","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=13778 Win=56448 Len=0 TSval=1915938413 TSecr=1455333677","0.003008000"
"102","4.104100","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=22022 Win=72960 Len=0 TSval=1915938417 TSecr=1455333680","0.010969000"
"113","4.104153","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=27518 Win=83968 Len=0 TSval=1915938417 TSecr=1455333680","0.011003000"
"124","4.104186","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=31640 Win=92288 Len=0 TSval=1915938417 TSecr=1455333680","0.011024000"
"125","4.104189","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=35762 Win=100480 Len=0 TSval=1915938417 TSecr=1455333680","0.011022000"
"126","4.104194","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=39884 Win=108672 Len=0 TSval=1915938417 TSecr=1455333680","0.011023000"
"127","4.104197","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=41258 Win=111616 Len=0 TSval=1915938421 TSecr=1455333682","0.009441000"
"147","4.106150","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=46754 Win=122624 Len=0 TSval=1915938426 TSecr=1455333691","0.002010000"
"148","4.106164","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=48128 Win=125440 Len=0 TSval=1915938426 TSecr=1455333691","0.002023000"
"150","4.108285","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=52250 Win=133760 Len=0 TSval=1915938427 TSecr=1455333691","0.004139000"
"158","4.108331","222.29.98.58","10.1.246.45","TCP","66","5201  >  51020 [ACK] Seq=1 Ack=59120 Win=147456 Len=0 TSval=1915938427 TSecr=1455333691","0.004163000"
