"No.","Time","Source","Destination","Protocol","Length","Info"
"40487","9.225815","162.105.129.65","10.1.237.106","LLC","389","Server Hello, Change Cipher SpecU, func=UP; DSAP 0xa2 Individual, SSAP 0xb8 Response"
"42908","9.772734","162.105.129.65","10.1.246.45","TLSv1.2","1516","[TCP Previous segment not captured] , Ignored Unknown Record"
"42911","9.772882","162.105.129.65","10.1.246.45","TLSv1.2","1235","[TCP Previous segment not captured] , Ignored Unknown Record, Ignored Unknown Record"
"42928","9.776159","162.105.129.65","10.1.246.45","TLSv1.2","1474","[TCP Previous segment not captured] , Ignored Unknown Record"
"42939","9.777719","162.105.129.65","10.1.246.45","TCP","208","[TCP Out-Of-Order] 443  >  39150 [PSH, ACK] Seq=12499 Ack=2229 Win=6386 Len=74 TSval=528735107 TSecr=3181217776"
"42966","9.779408","162.105.129.65","10.1.246.45","TCP","1508","[TCP Out-Of-Order] 443  >  39150 [ACK] Seq=15469 Ack=2229 Win=6386 Len=1374 TSval=528735110 TSecr=3181217779"
"43132","9.805642","162.105.129.65","10.1.246.45","TCP","1285","[TCP Retransmission] 443  >  39150 [ACK] Seq=17387 Ack=2730 Win=6887 Len=1143 TSval=528735136 TSecr=3181217804"
"43135","9.806065","162.105.129.65","10.1.246.45","TCP","1516","[TCP Retransmission] 443  >  39150 [ACK] Seq=19978 Ack=2730 Win=6887 Len=1374 TSval=528735136 TSecr=3181217804"
"43137","9.806159","162.105.129.65","10.1.246.45","TCP","216","[TCP Retransmission] 443  >  39150 [ACK] Seq=22800 Ack=2730 Win=6887 Len=74 TSval=528735136 TSecr=3181217804"
"43139","9.806253","162.105.129.65","10.1.246.45","TCP","1486","[TCP Retransmission] 443  >  39150 [PSH, ACK] Seq=24248 Ack=2730 Win=6887 Len=1344 TSval=528735136 TSecr=3181217806"
"43140","9.806302","162.105.129.65","10.1.246.45","TCP","155","[TCP Retransmission] 443  >  39150 [FIN, ACK] Seq=25592 Ack=2730 Win=6887 Len=21 TSval=528735137 TSecr=3046967308"
"43152","9.807308","162.105.129.65","10.1.246.45","TCP","1516","[TCP Retransmission] 443  >  39150 [ACK] Seq=25613 Ack=2730 Win=6887 Len=1374 TSval=528735137 TSecr=3181217804"
"43154","9.807397","162.105.129.65","10.1.246.45","TCP","1516","[TCP Retransmission] 443  >  39150 [ACK] Seq=27056 Ack=2730 Win=6887 Len=1374 TSval=528735137 TSecr=3181217804"
"43155","9.807441","162.105.129.65","10.1.246.45","TCP","216","[TCP Retransmission] 443  >  39150 [ACK] Seq=28430 Ack=2730 Win=6887 Len=74 TSval=528735137 TSecr=3181217804"
"43157","9.807530","162.105.129.65","10.1.246.45","TCP","216","[TCP Retransmission] 443  >  39150 [ACK] Seq=29878 Ack=2730 Win=6887 Len=74 TSval=528735137 TSecr=3181217804"
"43159","9.807619","162.105.129.65","10.1.246.45","TCP","216","[TCP Retransmission] 443  >  39150 [ACK] Seq=31326 Ack=2730 Win=6887 Len=74 TSval=528735137 TSecr=3181217804"
"43160","9.807699","160.105.129.65","10.1.246.45","SSL","1516","Continuation Data"
"43161","9.807793","162.105.129.65","10.1.246.45","TCP","1516","[TCP Retransmission] 443  >  39150 [ACK] Seq=35764 Ack=2730 Win=6887 Len=1374 TSval=528735137 TSecr=3181217804"
