"No.","Time","Source","Destination","Protocol","Length","Info"
"83469","18.767264","10.1.246.45","222.29.98.58","MPTCP","154","[TCP Out-Of-Order] 51018  >  5201 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1455333552 TSecr=0 WS=128"
"83470","18.767867","10.1.246.45","222.29.98.58","MPTCP","154","[TCP Out-Of-Order] 51018  >  5201 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1455333552 TSecr=0 WS=128"
"84129","18.893936","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=13778 Ack=1 Win=29312 Len=1374 TSval=1455333680 TSecr=1915938412"
"84130","18.893981","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=15152 Ack=1 Win=29312 Len=1374 TSval=1455333680 TSecr=1915938412"
"84131","18.894027","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=16526 Ack=1 Win=29312 Len=1374 TSval=1455333680 TSecr=1915938412"
"84132","18.894072","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=17900 Ack=1 Win=29312 Len=1374 TSval=1455333680 TSecr=1915938412"
"84133","18.894118","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=19274 Ack=1 Win=29312 Len=1374 TSval=1455333680 TSecr=1915938412"
"84201","18.907425","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=68738 Ack=1 Win=29312 Len=1374 TSval=1455333693 TSecr=1915938421"
"84202","18.907470","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=70112 Ack=1 Win=29312 Len=1374 TSval=1455333693 TSecr=1915938421"
"84203","18.907515","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=71486 Ack=1 Win=29312 Len=1374 TSval=1455333693 TSecr=1915938421"
"84204","18.907560","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=72860 Ack=1 Win=29312 Len=1374 TSval=1455333693 TSecr=1915938421"
"84205","18.907605","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=74234 Ack=1 Win=29312 Len=1374 TSval=1455333693 TSecr=1915938421"
"84232","18.909841","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=96218 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84233","18.909888","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=97592 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84234","18.909933","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=98966 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84235","18.909979","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=100340 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84236","18.910025","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=101714 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84237","18.910071","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=103088 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84238","18.910144","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=104462 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84239","18.910191","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=105836 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84240","18.910236","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=107210 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84241","18.910281","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=108584 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84242","18.910327","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=109958 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84243","18.910372","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=111332 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84244","18.910417","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=112706 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84245","18.910490","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=114080 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84251","18.910809","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=96218 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84252","18.911023","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=97592 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84253","18.911070","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=98966 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84254","18.911117","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=100340 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84255","18.911162","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=101714 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84256","18.911235","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=103088 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84257","18.911281","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=104462 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938427"
"84258","18.911325","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=105836 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84259","18.911370","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=107210 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84260","18.911415","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=108584 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84261","18.911488","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=109958 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84262","18.911533","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=111332 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84263","18.911579","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=112706 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84264","18.911624","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=114080 Ack=1 Win=29312 Len=1374 TSval=1455333696 TSecr=1915938428"
"84280","18.913073","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=118202 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84281","18.913120","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=119576 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84282","18.913165","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=120950 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84283","18.913209","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=122324 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84284","18.913254","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=123698 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84285","18.913299","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=125072 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84297","18.914429","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=118202 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84298","18.914474","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=119576 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84299","18.914518","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=120950 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84300","18.914563","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=122324 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84301","18.914608","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=123698 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84302","18.914653","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=125072 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84303","18.914727","10.1.246.45","222.29.98.58","TCP","1508","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=126446 Ack=1 Win=29312 Len=1374 TSval=1455333699 TSecr=1915938430"
"84330","18.917732","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=136064 Ack=1 Win=29312 Len=1374 TSval=1455333702 TSecr=1915938434"
