"No.","Time","Source","Destination","Protocol","Length","Info","The RTT to ACK the segment was"
"89690","19.359636","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3311378 Win=4016 Len=0 TSval=1915938879 TSecr=1455334143","0.002305000,0.002077000"
"89691","19.359684","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3318248 Win=4016 Len=0 TSval=1915938880 TSecr=1455334143","0.001891000"
"89721","19.361834","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3337484 Win=4016 Len=0 TSval=1915938881 TSecr=1455334145","0.003719000,0.003134000"
"89722","19.361879","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3342980 Win=4016 Len=0 TSval=1915938882 TSecr=1455334145","0.002968000"
"89782","19.364871","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3360842 Win=4016 Len=0 TSval=1915938883 TSecr=1455334147","0.004779000,0.004465000"
"89783","19.364916","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3364964 Win=4016 Len=0 TSval=1915938883 TSecr=1455334147","0.004293000"
"89800","19.366130","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3389696 Win=4016 Len=0 TSval=1915938887 TSecr=1455334149","0.003399000,0.002960000"
"89801","19.366176","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=3402062 Win=4016 Len=0 TSval=1915938887 TSecr=1455334149","0.002741000,0.002540000"
"89835","19.370243","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3404810 Win=4016 Len=0 TSval=1915938887 TSecr=1455334149","0.006520000"
"89883","19.372985","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3421298 Win=4016 Len=0 TSval=1915938889 TSecr=1455334152","0.007174000,0.007085000"
"89884","19.373029","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=3435038 Win=4016 Len=0 TSval=1915938892 TSecr=1455334152","0.004071000"
"89885","19.373072","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3457022 Win=4016 Len=0 TSval=1915938892 TSecr=1455334154","0.003700000"
"89943","19.377532","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3481754 Win=4016 Len=0 TSval=1915938895 TSecr=1455334157","0.006883000,0.006238000"
"89944","19.377577","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3496868 Win=4016 Len=0 TSval=1915938895 TSecr=1455334157","0.004807000"
"89963","19.379006","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3505112 Win=4016 Len=0 TSval=1915938897 TSecr=1455334159","0.005402000"
"89982","19.380266","222.29.98.58","10.1.246.45","TCP","142","5201  >  51020 [ACK] Seq=1 Ack=3520226 Win=4016 Len=0 TSval=1915938898 TSecr=1455334159","0.005977000"
"89983","19.380313","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3532592 Win=4016 Len=0 TSval=1915938900 TSecr=1455334160","0.005848000,0.005362000"
"89984","19.380359","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=3551828 Win=4016 Len=0 TSval=1915938900 TSecr=1455334160","0.004827000,0.003558000"
"90019","19.382060","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3564194 Win=4016 Len=0 TSval=1915938901 TSecr=1455334165","0.003506000,0.003373000"
"90020","19.382105","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3566942 Win=4016 Len=0 TSval=1915938901 TSecr=1455334165","0.003303000"
"90052","19.383580","222.29.98.58","10.1.246.45","TCP","224","5201  >  51020 [ACK] Seq=1 Ack=3605414 Win=4016 Len=0 TSval=1915938904 TSecr=1455334165","0.002742000,0.001858000"
"90096","19.388449","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3617780 Win=4016 Len=0 TSval=1915938905 TSecr=1455334169","0.006637000,0.005228000"
"90097","19.388495","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3623276 Win=4016 Len=0 TSval=1915938905 TSecr=1455334169","0.005096000"
"90135","19.391769","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3635642 Win=4016 Len=0 TSval=1915938910 TSecr=1455334169","0.004941000,0.004849000"
"90136","19.391816","222.29.98.58","10.1.246.45","TCP","232","5201  >  51020 [ACK] Seq=1 Ack=3656252 Win=4016 Len=0 TSval=1915938910 TSecr=1455334171","0.004248000,0.004156000"
"90137","19.391911","222.29.98.58","10.1.246.45","TCP","134","5201  >  51020 [ACK] Seq=1 Ack=3665870 Win=4016 Len=0 TSval=1915938911 TSecr=1455334171","0.003901000"
